epoch,step,train/cardinality_error,train/cardinality_error_0,train/cardinality_error_1,train/cardinality_error_enc,train/class_error,train/loss,train/loss_bbox,train/loss_bbox_aux,train/loss_ce,train/loss_ce_aux,train/loss_giou,train/loss_giou_aux,train/lr,train/lr_max,train/lr_min,val/AP/glass insulator,val/AP/glass insulator big shackle,val/AP/glass insulator small shackle,val/AP/glass insulator tower shackle,val/AP/lightning rod shackle,val/AP/lightning rod suspension,val/AP/polymer insulator,val/AP/polymer insulator lower shackle,val/AP/polymer insulator tower shackle,val/AP/polymer insulator upper shackle,val/AP/spacer,val/AP/spiral damper,val/AP/stockbridge damper,val/AP/tower id plate,val/AP/vari-grip,val/AP/yoke,val/AP/yoke suspension,val/F1,val/ema_AP/glass insulator,val/ema_AP/glass insulator big shackle,val/ema_AP/glass insulator small shackle,val/ema_AP/glass insulator tower shackle,val/ema_AP/lightning rod shackle,val/ema_AP/lightning rod suspension,val/ema_AP/polymer insulator,val/ema_AP/polymer insulator lower shackle,val/ema_AP/polymer insulator tower shackle,val/ema_AP/polymer insulator upper shackle,val/ema_AP/spacer,val/ema_AP/spiral damper,val/ema_AP/stockbridge damper,val/ema_AP/tower id plate,val/ema_AP/vari-grip,val/ema_AP/yoke,val/ema_AP/yoke suspension,val/ema_mAP_50,val/ema_mAP_50_95,val/ema_mAP_75,val/ema_mAR,val/mAP_50,val/mAP_50_95,val/mAP_75,val/mAR,val/precision,val/recall
6,3399,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,3449,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,3457,,,,,,,,,,,,,,,,0.9331369400024414,0.276222288608551,0.3020474314689636,0.407867968082428,0.5571677684783936,0.9281074404716492,0.9686393737792969,0.6428095102310181,0.5127454996109009,0.8745802640914917,0.33488795161247253,0.9573822021484375,0.8733015060424805,0.9966338872909546,0.9635969996452332,0.8971303701400757,0.8617033958435059,0.8575727939605713,0.9342248439788818,0.3150588870048523,0.31489765644073486,0.3740006685256958,0.5327436923980713,0.9199789762496948,0.9678322076797485,0.6445720791816711,0.5478039383888245,0.8786448836326599,0.3396238684654236,0.9579063653945923,0.8755701184272766,0.9965892434120178,0.9618090391159058,0.8956764340400696,0.8622273802757263,0.8880375623703003,0.7246564626693726,0.7606154084205627,0.8592429757118225,0.8880375623703003,0.7246564626693726,0.7606154084205627,0.8592429757118225,0.8927381634712219,0.8437634706497192
6,3457,33.48241424560547,33.07591247558594,33.431175231933594,32.744686126708984,0.1623416244983673,2.66601300239563,0.01606697030365467,0.0726340115070343,0.31737953424453735,1.1774996519088745,0.07549544423818588,0.28831902146339417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,3499,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,3549,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,3599,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,3649,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,3699,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,3749,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
